algorithm,category,compression_ratio,avg_compress_time,avg_decompress_time,original_size,compressed_size,avg_compress_time_ms,avg_decompress_time_ms
Huffman,Canterbury Corpus,41.3655,0.4629,0.1228,2810784,1318939,462.9,122.80000000000001
Huffman,The Large Calgary Corpus,36.9394,0.3047,0.0864,3251493,1837967,304.70000000000005,86.4
Huffman,The Standard Calgary Corpus,36.925,0.4228,0.1208,3141622,1769618,422.8,120.80000000000001
LZW,Canterbury Corpus,33.1018,0.3535,0.0205,2810784,1513582,353.5,20.5
LZW,The Large Calgary Corpus,21.64,0.2725,0.0171,3251493,2346920,272.5,17.1
LZW,The Standard Calgary Corpus,20.9007,0.3638,0.0227,3141622,2264672,363.8,22.700000000000003
LZW+Huffman,Canterbury Corpus,39.0618,0.6933,0.1237,2810784,1218701,693.3000000000001,123.7
LZW+Huffman,The Large Calgary Corpus,35.3939,0.5894,0.1021,3251493,1879847,589.4000000000001,102.1
LZW+Huffman,The Standard Calgary Corpus,36.5507,0.798,0.1378,3141622,1807263,798.0,137.8
RLE,Canterbury Corpus,8.8209,0.0521,0.0208,2810784,2392223,52.1,20.8
RLE,The Large Calgary Corpus,6.0217,0.0347,0.0141,3251493,2843290,34.7,14.1
RLE,The Standard Calgary Corpus,7.7393,0.0461,0.0186,3141622,2733441,46.1,18.599999999999998
RLE+Huffman,Canterbury Corpus,41.3618,0.4689,0.1314,2810784,1281443,468.9,131.39999999999998
RLE+Huffman,The Large Calgary Corpus,37.175,0.3357,0.0982,3251493,1809453,335.7,98.19999999999999
RLE+Huffman,The Standard Calgary Corpus,37.3029,0.4459,0.1322,3141622,1740874,445.90000000000003,132.20000000000002
